compound_id,smiles
CPD-12831,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCCC(\C)=C/CC1(/C(\C)=C(C2(/C=C\C=C/C(/C(/O)=1)=2))/O)
CPD-16559,C[C@@H]7([C@@H](O)[C@H](O)[C@H](O)[C@H](OC[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@@H](O1)OC3(\C(C2(\C=C(C(\O)=C(/C=2)\O)\O))=[O+]C4(\C(/C=3)=C(/C=C(/C=4)/O[C@@H]6(O[C@H](COC(=O)C5(\C=C/C(/O)=C\C=5))[C@@H](O)[C@H](O)[C@@H](O)6))\[O-]))))O7)
4-HYDROXY-BUTYRYL-COA,CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCO)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
BUTYLAMINE,CCCC[NH3+]
AICAR,C(OP(=O)([O-])[O-])[C@@H]1([C@@H](O)[C@@H](O)[C@@H](O1)N2(\C=N/C(\C(=O)N)=C(N)\2))
CPD-12403,CSCCCCCCCC(/SC[C@H]([NH3+])C(=O)NCC([O-])=O)=N\O
CPD-4941,C=C([C@H]1(CC[C@H](CC1=O)C))C
N-METHYLANTHRANILOYL-COA,CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C1(/C=C\C=C/C(/NC)=1))COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-]
CPD-9006,C=C(C)[C@@H]1(CCC(\C)=C/CCC(\C)=C/C1)
CPD-14289,C=CC(C)(/C=C/C(C)CCC(C)C(CCC(C)C(C)=C)=C)CC/C=C(C)/CCC(C)C(C)=C
L-CYSTEATE,C([C@H]([NH3+])C(=O)[O-])S(=O)(=O)[O-]
CPD-12161,C=C(C)CC(O)CCC(C)C1(C2(C)(C(CC1)C3(\CCC4(C(C)(C(\CC2)=3)CCC(O)C4))))
CPD-15481,COC2(/C3(/OC(/C1(\C=C/C(/O)=C\C=1))=C/C(=O)C(/C=C\C(\O)=2)=3))
CPD-9469,CC7(C[C@H]8(C2(\[C@]([C@@]1(CC[C@H]3(C([C@H](CC[C@]([C@H]1C\C=2)3C)O[C@H]4([C@@H]([C@H]([C@@H]([C@H](C([O-])=O)O4)O[C@H]5([C@@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O))O[C@H]6([C@@H]([C@H]([C@H]([C@@H](CO)O6)O)O)O))O))(C)C))C)(CC[C@@](CC7)8C(=O)[O-])C)))C
CPD-11520,CC\C=C/C[C@H]1([C@H](CCC(=O)1)CCCCCC(=O)CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-])=O)
CPD-9488,CC2(CC[C@@]1(CC[C@@]3(C(/[C@@H]1C2)=C/C[C@H]4([C@]3(CC[C@@H]5([C@@]4(CC[C@@H]([C@](CO)(C)5)O)C))C))C)C(=O)O[C@H]6([C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O))C
CPD-6947,CC(CCC[C@H](CCC[C@@H](C)CCCC(\C)=C/CC1(\C(=O)C2(\C(\C(\C=1)=O)=C/C=C\C=2)))C)C
CPD-10540,CC1(OC([C@H](O)C(O)[C@H](O)1)OC5(CC6(CCC4([C@H](CCC3(C)(C(C2(\COC(=O)\C=2))CCC(O)34))C(CC5)(C)6))))
CPD-7104,CC(C(C1(/C(/O)=C\C(\O)=C/C(/O)=1))=O)C
CPD-12044,C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)O1)
D-RIBULOSE-1-P,C(OP([O-])(=O)[O-])C(=O)[C@H](O)[C@H](O)CO
CYS-GLY,C(C([O-])=O)NC([C@H](CS)[NH3+])=O
CPD-17597,COC4(\C(\O)=C/C=C(C[C@@H]3([C@@H](CC1(\C=C/C2(/OCOC(/C=1)=2)))COC3=O))\C=4)
LICODIONE,C2(/C=C(\C=C/C(/C(/[O-])=C/C(=O)C1(\C(\O)=C/C(/O)=C\C=1))=2)/O)
5-O-INDOL-3-YLACETYL-MYO-ETCETERA,C(O)[C@@H]1([C@H](O)[C@H](O)[C@H]([C@@H](O1)O[C@@H]4([C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@@H](OC(=O)CC2(\C3(/C=C\C=C/C(/N\C=2)=3)))4))O)
CPD-19438,C1(N3(CC4(\C(/[C@@H]2([C@H](O)[C@@H](O)\C=C(C1)/[C@H]23))=C/C5(/OCOC(/C=4)=5))))
GLYCEROPHOSPHATEN1,C(OP(=O)([O-])OC[C@@H](O)COP(=O)([O-])OC[C@@H](O)COP(=O)([O-])[O-])[C@H](O)CO[R]
CPD-3521,COC2(\C=C(C3(\C(C(/C1(\C=C/C(/O)=C\C=1))=C/OC(/C=2)=3)=O))\O)
CPD-4891,C=C1(CC[C@H]2(C[C@@H]1C2(C)C))
CPD-9462,CC5(C[C@H]6(C2(\[C@]([C@@]1(CC[C@H]3(C([C@H](CC[C@]([C@H]1C\C=2)3C)O[C@H]4([C@@H]([C@H]([C@@H]([C@H](C([O-])=O)O4)O)O)O))(C)C))C)(CC[C@@](CC5)6C(O[C@H]7([C@@H]([C@H]([C@@H]([C@@H](CO)O7)O)O)O))=O)C)))C
CPD-15742,COC3(/C=C(CC1(\C2(/C=C(C(/OC)=C\C(\C=C/N=1)=2)/OC)))\C=C/C(/OC)=3)
CPD-21662,CC1(/CC/C=C(C)/C[C@H]2(OC(=O)C([C@H](C/C=1)2)=C))
TAXA-411-DIENE,CC2(\[C@H]1(C[C@@H]3(CCC(/C)=C(CC[C@@](C)1CC\C=2)/C(C)(C)3)))
CPD-19027,CCCCCCCCCCCC(O[C@@H]1([C@@H](O)[C@H](O[C@H](CO)[C@@H](OC(=O)CC(C)C)1)O[C@]2(CO)(O[C@H](CO)[C@@H](O)[C@H](O)2)))=O
CPD-7650,COC1(/C=C(CC[NH3+])\C=C/C(/O)=1)
CPD-8657,C([C@@H]3([C@H]([C@@H]([C@H]([C@H](OC1(\C(\O)=C/C2(/N[C@@H](CC(/C=1)=2)C([O-])=O)))O3)O[C@H]4([C@@H]([C@H]([C@@H]([C@H](O4)C([O-])=O)O)O)O))O)O))O
CPD-1063,CSC[C@@H](O)[C@@H](O)C(=O)COP([O-])(=O)[O-]
CPD-14941,COC1(/C=C(/C=C(C(\OC)=1)/OC)/C2(/OC3(/C=C(/C=C(C(\C(=O)C(/OC)=2)=3)/O)/O)))
CPDQT-277,CSCCCCCCCC[C@H]([NH3+])C(=O)[O-]
CPD-15632,COC3(\C=C/C(/C1(/OC2(/C=C(C(\O)=C(C(\C(=O)\C=1)=2)\O)/OC)))=C\C=3)
RX,[R][X]
CPD-3642,CC(C)[C@@H]([NH3+])C([O-])=O
OXIDIZED-GLUTATHIONE,C(SSC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
OXAMATE,C(C([O-])=O)(=O)N
CDP-D-GLUCOSE,C([C@H]3(O[C@H](OP(OP(OC[C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O))([O-])=O)([O-])=O)[C@@H]([C@H]([C@@H]3O)O)O))O
CPD-8079,CCCCCCCC\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCC\C=C/C\C=C/C\C=C/CC)=O)=O
CPD-12232,C(CNC(/C=C/C2(\C=C1(C(C(OC/1=C/C=2)C3(\C=C/C(/O)=C\C=3))C(NCCCC[NH+]=C(N)N)=O)))=O)CC[NH+]=C(N)N
AMMONIUM,[NH4+]
CPD-15290,C(O)[C@@H]1([C@H]([C@H](O)[C@@H](O)[C@@H](O1)OC2(\C=C(C3(\C=C(C(=[O+]C(\C=2)=3)C4(\C=C(C(\O)=C(/C=4)\O)\O))\O[C@H]5([C@H](O)[C@H]([C@H](O)[C@@H](CO)O5)O)))\[O-]))O)
CPD-14839,C1(OC2(\C(\O1)=C/C=C(/C=2)/[C@H]3(OC[C@H]4([C@H](OC[C@H]34)C7(\C(\O[C@H]5([C@@H]([C@H]([C@H](O)[C@H](O5)CO[C@H]6([C@@H]([C@H]([C@H](O)[C@H](O6)CO)O)O))O)O))=C/C8(/OCOC(/C=7)=8))))))
CPD-14270,CCCCCCCCCCCCCCCCCCCC(OCCCCCCCCCCCC)=O
2-O-CAFFEOYLGLUCARATE,C1(\C(/C=C/C(=O)O[C@H]([C@H]([C@@H]([C@@H](C(=O)[O-])O)O)O)C(=O)[O-])=CC(\O)=C(\C=1)\O)
PHENYLHYDANTOIN,C2(\C=C/C(/[C@H]1(NC(=O)NC1=O))=C\C=2)
DIOXINDOLE-3-ACETATE,C([O-])(=O)CC1(O)(C(=O)NC2(\C/1=C/C=C\C=2))
ACETOL,CC(=O)CO
ALL-TRANS-PENTAPRENYL-DIPHOSPHATE,CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COP(=O)([O-])OP(=O)([O-])[O-]
CPD-3570,CO[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1)
CPD-9928,C(S(O[K])(=O)=O)(P(=O)(O[K])O[K])CCCC2(\C=C/C(/C1(\C=C/C=C\C=1))=C\C=2)
CPD-9674,C(C([O-])=O)(Cl)Cl
CPD-9055,C(O)C(O)C1(C(O)C(=O)C(O)O1)
CPD-13510,COC2(\C=C(C3(\C(=O)C[C@@H](C1(\C=C/C(/O)=C\C=1))OC(/C=2)=3))\OC4(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)4))
CPD1F-137,C=C1([C@H]3(C[C@]4(C1)([C@H]([C@@H]5([C@]2(C(=O)O[C@](CC[C@H](O)2)([C@@H](CC3)4)5)(C)))C([O-])=O)))
CPD-8957,C(OC(C1(\C=C(C(\O)=C(/C=1)\O)\O))=O)[C@H]7(O[C@H]([C@H](OC(C2(\C=C(C(\O)=C(/C=2)\O)\O))=O)[C@@H](OC(=O)C3(\C=C(C(\O)=C(/C=3)\O)\OC(C4(\C=C(C(\O)=C(/C=4)\O)\OC(C5(\C=C(C(\O)=C(/C=5)\O)\O))=O))=O))[C@H](OC(=O)C6(\C=C(C(\O)=C(/C=6)\O)\O))7)OC(C8(\C=C(C(\O)=C(/C=8)\O)\O))=O)
CPD-21446,C1(C(COP([O-])(=O)[O-])O1)
CPD-9623,CC1(/C=C\C2(\C(=O)C3(/C(/O)=C(C(/O)=C\C(\C(=O)C(/C(/O)=1)=2)=3)/OC)))
CPD-8048,CO[C@@H]1([C@H]([C@H]([C@@H]([C@@H]([C@H]1O)O)O)O)O[C@H]2(O[C@@H]([C@@H]([C@@H]([C@H]2O)O)O)CO))
CPD-9460,CC5(C[C@H]6(C2(\[C@]([C@@]1(CC[C@H]3(C([C@H](CC[C@]([C@H]1C\C=2)3C)O[C@H]4([C@@H]([C@H]([C@@H]([C@H](C([O-])=O)O4)O)O)O))(C)C))C)(CC[C@@](CC5)6C([O-])=O)C)))C
CPD-9245,CCCCCC\C=C/CCCCCCCC(=O)[O-]
CPD-225,C([O-])(=O)/C=C(CC([O-])=O)/C([O-])=O
CPD-14736,C(=O)([O-])[C@@H]([NH3+])CC(=O)C1(/C=C\C=C/C(/N)=1)
CPD-11846,C([O-])(=O)CC[C@H](NC(=O)C1(\C=C/C=C\C=1))C(=O)[O-]
CPD-4614,CC(/CO[C@@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O))=C\CNC2(\C3(\N=C/NC(/N=C\N=2)=3))
CPD-15367,CC\C=C/CC[C@@H](O)C\C=C/CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-7166,CCCCCC1(\C(\C([O-])=O)=C(C(\C/C=C(C)/CCC=C(C)C)=C(\C=1)/O)\O)
FE+3,[Fe+3]
5-ALPHA-CHOLESTA-724-DIEN-3-BETA-OL,CC(C)=CCC[C@@H](C)[C@H]1(CC[C@@H]3([C@@](C)1CC[C@H]2([C@]4(C)([C@H](CC=C23)C[C@@H](O)CC4))))
CPD-12587,CC(C)=CCCC(\C)=C/CCC(\C)=C/COP([O-])([O-])=O
DCDP,C([C@@H]2([C@H](C[C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O))OP(OP(=O)([O-])[O-])([O-])=O
CPD-9194,CC2(/CC(O)[C@H]1(C[C@H]3([C@](C)(C[C@H](O)C(\[C@](C)(C)1)=2)CC[C@H](OC(C)=O)C3=C)))
CPD-9459,CC4(C[C@H]5(C2(\[C@]([C@@]1(CC[C@H]3(C([C@H](CC[C@]([C@H]1C\C=2)3C)O)(C)C))C)(CC[C@@](CC4)5C([O-])=O)C)))C
CPD0-2489,C([N+](=O)[O-])C(O)C(=O)[O-]
CATECHOL,C1(\C=C/C(/O)=C(\C=1)/O)
PANTOYL-LACTONE,CC1(COC([C@@H]1O)=O)C
CPD-22267,C[C@H]6(CC[C@@]1(O[C@@H]5([C@H]([C@H](C)1)[C@]4(C)([C@H]([C@H]3([C@@H]([C@]2(C)(C(/C[C@@H](O)CC2)=C/C3))CC4))C5)))(NC6))
ONONIN,COC4(\C=C/C(/C2(/C(C3(/C=C\C(\O[C@H]1([C@@H]([C@@H](O)[C@@H]([C@@H](CO)O1)O)O))=C/C(/O\C=2)=3))=O))=C\C=4)
CPD-21650,C(#N)C(=O)C1(\C2(\C(\N/C=1)=C/C=C\C=2))
CPD-13091,CCC1(OC1C\C=C/C\C=C/CCCCCCCC(=O)[O-])
CPD-9557,CC1(\C=C(C2(/C(=O)C3(/C(\CC(/C=1)=2)=C\C(\O)=C/C(/O)=3)))\O)
CPD-8952,C(OC(C1(\C=C(C(\O)=C(/C=1)\O)\O))=O)[C@H]6(O[C@H]([C@H](OC(C2(\C=C(C(\O)=C(/C=2)\O)\O))=O)[C@@H](OC(=O)C3(\C=C(C(\O)=C(/C=3)\O)\O))[C@H](OC(=O)C4(\C=C(C(\O)=C(/C=4)\OC(C5(\C=C(C(\O)=C(/C=5)\O)\O))=O)\O))6)OC(C7(\C=C(C(\O)=C(/C=7)\O)\O))=O)
ACETOACETYL-COA,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
DIHYDROLIPOAMIDE,C(CCC(N)=O)C[C@@H](S)CCS
CPD0-1660,C#CC(N)CCCNC(N)=N
CPD-6142,C[NH+](CCC([O-])=O)C
RETINAL,CC(/C=C/C1(/C(C)(C)CCCC(/C)=1))=C\C=C\C(/C)=C\C=O
17-O-ACETYLNORAJMALINE,CC[C@H]3([C@@H]2(C4([C@@H](OC(=O)C)C15(C6(\C(\N[C@H]1[C@H](C2)N([C@H](O)3)[C@H]4C5)=C/C=C\C=6)))))
CPD-13613,CCCCCCCCCCCCCCC[C@@H]([C@H](CO)[NH3+])O
CPD-6681,[C@@H]1(O)([C@H](OP([O-])(=O)[O-])[C@@H](O)[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@@H](O)1)
CPD-4584,O=[V]([O-])([O-])[O-]
CPD-14769,CCCCCC#CCC#CCC#CCC#CCCCC(=O)[O-]
CPD-4405,CC1(\C=C/C3(/C(/O1)=C\C=C2([C@@H]4(OC5(/C=C(\C=C/C(/[C@](O)(COC/2=3)4)=5)/O)))))(C)
CPD-11253,C(O)C\C=C/C[C@H]1(C(=O)CC[C@@H]1CC([O-])=O)
CPD-19446,COC4(/C=C1(C(/CN3(CC[C@]21(\C=C/[C@H](C[C@@H]23)O)))=C\C(\O)=4))
MET,CSCC[C@H]([NH3+])C([O-])=O
CPD-15886,C3(/C=C(\C=C/C(/[C@@H]1(OC2(\C(\C([C@H]1O)=O)=C(/C=C(/C=2)/O)\O)))=3)/O)
L-ASPARTATE,C(C(=O)[O-])[C@H]([NH3+])C(=O)[O-]
S-HYDROXYMETHYLGLUTATHIONE,C(NC(=O)[C@H](CSCO)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]
CPD-8073,CCCCC\C=C/C\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCCCCCCCCCCCC)=O)=O
CPD-15370,CCCCCC[C@@H](O)C\C=C/CCCCCCC/C=C/C(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O
3-HYDROXY-4H-PYRID-4-ONE,C1(/N\C=C/C(=O)C(/O)=1)
CPD1F-96,C=C1([C@@]2(O)(C[C@]3(C1)([C@H]([C@@H]4([C@@](C)(CCC[C@@](C=O)([C@@H](CC2)3)4)C([O-])=O))C([O-])=O)))
CPD-14866,C3(/C=C(C(/O)=C\C(\C1(\OC2(\C(\C(=O)C(/[O-])=1)=C(C(\O)=C(/C=2)\O)\O)))=3)/O)
DIPYRROMETHANE,CC1(\C(/CC(=O)[O-])=C(CCC(=O)[O-])/C(\N=1)CC2(\C(/CC(=O)[O-])=C(CCC(=O)[O-])/C\N=2))
CPD-7554,C=C([C@H]1([C@H]2(\C=C(C)/CC[C@@H]([C@@H](CC1)C)2)))C
CODEINE,C[NH+]4(CC[C@@]15([C@@H]3([C@@H](O)\C=C/[C@@H]([C@@H](CC2(\C=C/C(/OC)=C(C\1=2)/O3))4)5)))
CPD-13505,I(=O)([O-])=O
S-781314-TETRAHYDROPROTOBERBERINE,C1(CC4(/C=C\C=C/C(/[C@H]2([NH+]1CC3(\C=C/C=C\C(/C2)=3)))=4))
ACETALD,CC=O
BUTYRIC_ACID,CCCC(=O)[O-]
D-TRYPTOPHAN,C1(\NC2(/C=C\C=C/C(/C(\C[C@@H]([NH3+])C(=O)[O-])=1)=2))
CPD-8851,C(CC1(\C=C/C(C(\C=1)=O)=O))[NH3+]
CPD-8093,CCCCC\C=C/C\C=C/CCCCCCCC(OC[C@@H](OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C)=O
CPD-15377,C(=O)[C@H](O)[C@@H](O)[C@H](O)CO
CPD-8910,COC2(\C(\O)=C/C=C(C[C@@H]([C@H](CC1(\C=C/C(/O)=C(\C=1)/OC))CO)CO)\C=2)
CPD-2190,CC\C=C/C\C=C/C\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCC\C=C/C\C=C/C\C=C/CC)=O)=O
CPD-21719,CC(C)CCC[C@@H](C)[C@H]3(CC[C@H]4(C1([C@@H]([C@]2(CCC(=O)[C@H](C)[C@H](CC=1)2)(C))CC[C@](C)34)))
CPD-12759,CC1(\CC[C@@H](C\C=1)C2(\CC(C)(C)CC/C=2))
CPD-9441,CC(C)=CCC(CC1(/C2(/O[C@@H](CC(=O)C(/C(/O)=C\C(\O)=1)=2)C3(/C=C\C(\O)=C/C(/O)=3))))C(C)=C
CPD-5602,C[NH+](C)CCO
CPD-4615,CC(CCNC1(\C2(N(\C=N/C(\N=C/N=1)=2)[C@@H]3([C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O))))CO
CPD0-1440,C1(CC(C(=O)[O-])CC(C(=O)[O-])([NH3+])C1)
FOLATE,C(Nc1(ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O))c2(cnc3(\N=C(N)/NC(=O)c(n2)3))
4-METHYL-MYO-INOSITOL,CO[C@H]1([C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)1)
CPD-14461,C(O)[C@H]1(O[C@H]([C@H](O)[C@@H](O)[C@H](O)1)OC2(\C(\O)=C/C3(OC(=O)\C=C/C(/C=2)=3)))
CPD-8803,CC(C)[C@@H]1(CC[C@@H](C)[C@]23(C([C@@H]12)C(CC3)=C))
CPD-13428,C([C@@H]1(O[C@H]([C@H]([C@@H]([C@@H]1O)O)O)O))O
X-PYROPHOSPHATE-GROUP,[O-]P(OP([O-])=O)=O
CPD-8667,CC(/C=C/C=C(C)/C(=O)O[C@@H]1(O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO))=C\C=C\C=C(C)\C=C\C=C(C)\C(=O)O[C@H]2([C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)
CMP,C([C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O))OP([O-])([O-])=O
17-O-DEACETYLVINDOLINE,CC[C@@]25(\C=C/C[NH+]4(CC[C@@]1(C3(/C=C\C(\OC)=C/C(/N(C)[C@H]1[C@](C(OC)=O)(O)[C@H](O)2)=3))[C@@H]45))
CPD-21169,C(SC2(\C=C(\N=C(C1(\C=C/C=C\C=1))/N=2)\Cl))[C@@H](C([O-])=O)[NH3+]
CPD-1095,COC3(\C=C/C(/C1(/OC2(/C=C(/C=C(C(\C(=O)\C=1)=2)/O)/[O-])))=C\C=3)
CPD-5441,C[NH+](CCOP([O-])([O-])=O)C
CPD-10257,C=CC\C=C/C\C=C/CCCCCCCC1(\C=C(/C=C(\C=1)/OC)\O)
CPD-16782,C[N+]2(\C4(/C5(/C=C1(C(/OCO1)=C\C(\C=C/C(/C3(\C=C/C(/OC)=C(C(\C=2)=3)/OC))=4)=5))))
CPD-20659,CC(C)=CCC[C@@H](C)CCCC(\C)=C/CCC(\C)=C/CC/C=C(C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C
CPD-8709,CC(C)=C3(CC[C@@H]2([C@@]1(C([C@@](CCC1)(CO)C)CCC/2=C\3)C))
CPD-4610,C([C@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)N3(C4(C(/NCC2(\O\C=C/C=2))=N\C=N/C(\N=C/3)=4))))O
CPD-21760,C1(CC5(\C(\C2(\[N+]\1=C/C4(\C(/C=2)=C/C=C3(C(\OCO3)=4))))=C/C6(/OCOC(/C=5)=6)))
DITHIOERYTHRITOL,C(S)[C@H](O)[C@H](O)CS
CPD0-1508,C(OP(=O)([O-])[O-])[C@H]1(O[C@H](C[C@H](O)1)N2(/C=C(C(=O)NC(=O)2)/I))
CPD-9410,CC1(/CC[C@H]2(C(C(=O)O[C@H](/C=C(C)/CC/C=1)2)=C))
CPD0-1898,C[C@@H]3([C@H](O)[C@H](O)[C@@H](O)[C@@H](OP(OP(=O)([O-])OC[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=C/C(=O)NC(=O)2)))([O-])=O)O3)
TARTRATE,C([C@@H]([C@H](C([O-])=O)O)O)([O-])=O
CPD-10051,C=C([C@H]1(C[C@@H](C(/C)=C/C1)O))C
CPD-19450,CN(CC1(\C=C/C(/OC)=C(/C=1)/O))CCC2(\C=C/C(/O)=C\C=2)
CPD-21324,CC(=O)[C@@H]1(CC[C@H]2([C@](C)1CC[C@@H]3([C@@](C)2CC[C@H](O)C(C)(C)3)))
CPD-22269,C[C@H]1(CN[C@@]2(CC1)([C@@H](C)C3([C@@H](O2)CC4([C@@](C)3CC[C@H]5([C@H]4CC[C@@H]6([C@@](C)5CCC(=O)C6))))))
RETINOATE,CC(/C=C/C1(/C(C)(C)CCCC(/C)=1))=C\C=C\C(/C)=C\C(=O)[O-]
CPD-2841,[N-]=[N+]=[N-]
CPD-14732,C=CC(C)(CCC=C(C)C)O[C@H]1([C@@H]([C@H]([C@H](O)[C@H](O1)CO[C@H]2([C@@H]([C@@H](O)[C@@H](CO2)O)O))O)O)
CPD0-2021,COC1(\N=C(C(/COP(=O)([O-])OP(=O)([O-])[O-])=C\N=1)\N)
CPD-7111,CC(C)=CCC1(/C([O-])=C(C(C(C(/O)=1)(CC=C(C)C)CC=C(C)C)=O)C(C(C)C)=O)
CPD-8758,CC(C1(\CC[C@]2(CCCC(/C)=C(/C=1)/2)C))C
CPD-6959,COC1(\C=C(C=C(/C=1)/C=C/C2(\C=C/C(/O)=C\C=2))\OC)
CPD-14594,CC(O[C@@H]2(O[C@H](CO[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1))[C@@H](O)[C@H](O)[C@@H](O)2))(C#N)C
CPDQT-418,CSCCCCCCCC(/S[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1))=N\O
L-DELTA1-PYRROLINE_5-CARBOXYLATE,C1(\CC[C@H](\N=1)C(=O)[O-])
CPD-14508,C=C1(C[C@@]35(C[C@@]1(O)CC[C@@H]([C@]4(C)(CCC[C@](C(O[C@H]2([C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)O))=O)(C)[C@@H](CC3)4))5))
CPD-8243,CC2(\CCC(/[C@]1(C)(C(C)(C)CCC1))=C\C=2)
CPD-13644,CC(=O)NCCC[C@@H](C(=O)[O-])[NH3+]
LIPID-IV-A,CCCCCCCCCCC[C@@H](O)CC(=O)N[C@H]1([C@@H](OP([O-])([O-])=O)O[C@@H]([C@@H](O)[C@H](OC(=O)C[C@H](O)CCCCCCCCCCC)1)CO[C@@H]2(O[C@H](CO)[C@H]([C@@H]([C@H]2NC(C[C@H](O)CCCCCCCCCCC)=O)OC(=O)C[C@H](O)CCCCCCCCCCC)OP([O-])([O-])=O))
CPD0-1312,C2(\C=C/N([C@@H]1(O[C@H](CO)[C@@H](O)[C@@H](O)1))C(=O)\N=2)
CPDQT-461,C1(=O)(OC2(/C(\C=C/1)=C\C3(\C=C/OC(C(\OC)=2)=3)))
ZOLEDRONATE,C1(\N=C/N(\C=1)CC(O)(P(=O)([O-])O)P(=O)([O-])O)
CPD-11260,C(O)C\C=C/C[C@@H]1(C(=O)CC[C@@H]1CC([O-])=O)
CPD-17598,C5([C@H](CC1(\C=C/C2(/OCOC(/C=1)=2)))[C@@H](CC4(\C=C3(C(/OCO3)=C\C=4)))C(O5)=O)
CPD-9898,CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(/C=C(/C=C(C(/O)=1)/OC)/C([O-])=O)
CPD-21506,C[N+]14(CC5(\C(\OC)=C(\C=C/C(\C[C@@H](C2(/C(\CC1)=C\C3(\OCOC(/C(/O)=2)=3)))4)=5)\OC))
D-ERYTHRO-IMIDAZOLE-GLYCEROL-P,C1(\N\C=N/C(\[C@@H]([C@H](O)COP(=O)([O-])[O-])O)=1)
CPD-7973,CC(/C=C/C=C(C)/C=C/C(OC)=O)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C(OC)=O
CPD-653,C1(/N([C@@H](O)CCC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O)[C@H](O)2)N3(\C=N/C4(C(/N)=N\C=N/C3=4))))[C@@H](O)[C@@H](O)5))
