compound_id,smiles
N-4-aminobutylidene-enzyme-lysine,C([NH3+])CC\C=N/CCCC[C@H](N[a deoxyhypusine synthase])C([a deoxyhypusine synthase])=O
O-Long-Chain-Acyl-L-Carnitines,C(CCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C)[R]
Acyl-protein-thioesters,CC(C)(COP(=O)([O-])OC[C@H](N[a soluble <i>apo</i>-[acyl-carrier protein]])C(=O)[a soluble <i>apo</i>-[acyl-carrier protein]])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[R]
Dioxindole-3-Acetyl-3-O-hexoses,C(O)C3(O[C@@H](OC1(CC([O-])=O)(C(=O)NC2(/C=C\C=C/C\1=2)))C(O)C(O)C(O)3)
CPD-1109,C(N[C@@H]1(C(O[C@@H]([C@H]([C@@H]1O)O)CO)O))([R])=O
Glucuronoxylans,C([O-])(=O)[C@H]6(O[C@H](O[C@@H]5([C@H]([C@H](O[C@@H]1(CO[C@H]([C@@H]([C@H]1O)O[C@@H]2([C@H](O)[C@@H](O)[C@H](O)[C@@H](C([O-])=O)O2))O[C@@H]3(CO[C@H]([C@@H]([C@H]3O)O)O[C@@H]4(CO[C@H]([C@@H]([C@H]4O)O)O[R2]))))OC[C@H]5O[R1])O))[C@H](O)[C@@H](O)[C@H](O)6)
CHONDROITIN-4-SULFATE,CC(=O)N[C@H]8([C@H](O[C@H]6([C@H](O)[C@@H](O)[C@H](O[C@@H]5([C@@H](NC(=O)C)[C@H](O[C@H]1([C@H](O)[C@@H](O)[C@@H](O[C@H](C(=O)[O-])1)O[C@@H]4([C@@H](O)[C@H](O[C@@H]3([C@@H](O)[C@H](O[C@H]2([C@H](O)[C@@H](O)[C@H](OC[C@H](N[a protein])C(=O)[a protein])OC2))O[C@H](CO)[C@H](O)3))O[C@H](CO)[C@H](O)4)))O[C@H](CO)[C@H](OS(=O)([O-])=O)5))O[C@H](C(=O)[O-])6))O[C@H](CO)[C@H](OS(=O)([O-])=O)[C@H](OC7(O[C@H](C(=O)[O-])[C@@H](O[R])[C@H](O)[C@H]7O))8)
Peptidoglycan-DD-crosslinks,CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP(OP(O[C@H]4(O[C@H](CO)[C@@H](O[C@@H]1(O[C@H](CO)[C@@H](O[R1])[C@H](O)[C@@H](NC(=O)C)1))[C@H](O[C@@H](C(=O)N[C@@H](C)C(N[C@H](CCC(=O)N[C@@H](CCCC(NC(=O)[C@@H](C)NC(=O)[C@H](CCC[C@H]([R4])[NH3+])NC(=O)CC[C@@H](NC(=O)[C@@H](NC([C@H](O[C@@H]3([C@@H](NC(=O)C)[C@H](O[R3])O[C@H](CO)[C@@H](O[C@@H]2(O[C@H](CO)[C@@H](O[R2])[C@H](O)[C@@H](NC(=O)C)2))3))C)=O)C)C(=O)[O-])[R4])C(N[C@H](C)C(=O)[O-])=O)C(=O)[O-])=O)C)[C@@H](NC(=O)C)4))([O-])=O)(=O)[O-]
CPD-17404,CCCCCCCC\C=C/CCCCCCCCCC(=O)[a glycerolipid]
Phenols,C1(C(/[R4])=C([R5])/C(/O)=C([R1])\C(/[R2])=1)[R3]
